year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2019,1,Yukon,China,3537000.0,24.0,147375.0,2019-Q1,False,True
2019,2,Nunavut,France,2286000.0,21.0,108857.14285714286,2019-Q2,False,True
2019,3,Saskatchewan,India,5847000.0,438.0,13349.315068493152,2019-Q3,False,False
2019,4,New Brunswick,Germany,4983000.0,31266.0,159.3744003070428,2019-Q4,False,False
2019,4,Ontario,Japan,95445000.0,97692.0,976.9991401547721,2019-Q4,False,False
2019,4,Alberta,Mexico,27741000.0,22740.0,1219.9208443271768,2019-Q4,False,False
2020,1,Newfoundland and Labrador,Australia,2088000.0,186.0,11225.806451612903,2020-Q1,True,False
2020,1,Quebec,Australia,25521000.0,9702.0,2630.4885590599874,2020-Q1,True,False
2020,4,British Columbia,United States,98475000.0,452934.0,217.4157824318775,2020-Q4,True,False
2018,2,Newfoundland and Labrador,Australia,6960000.0,1032.0,6744.186046511628,2018-Q2,False,False
2018,2,Manitoba,Japan,6171000.0,642.0,9612.14953271028,2018-Q2,False,False
2018,3,Quebec,France,902481000.0,1173162.0,769.2722744173439,2018-Q3,False,False
2019,1,Ontario,United States,1529142024.0,11821686.0,129.35058704824337,2019-Q1,False,False
2019,1,British Columbia,Japan,105828000.0,174336.0,607.034691629956,2019-Q1,False,False
2019,3,Nova Scotia,Germany,45348000.0,62076.0,730.523873960951,2019-Q3,False,False
2019,3,Manitoba,Mexico,7605000.0,4170.0,1823.7410071942445,2019-Q3,False,False
2020,1,New Brunswick,United States,19323000.0,592446.0,32.61563079166709,2020-Q1,True,False
2020,1,Alberta,China,32661000.0,2262.0,14438.992042440319,2020-Q1,True,False
2021,2,British Columbia,United States,154176000.0,503604.0,306.14530464412513,2021-Q2,True,False
2023,3,Newfoundland and Labrador,United States,49197000.0,129516.0,379.8526822940795,2023-Q3,False,False
2023,4,New Brunswick,United States,140328000.0,1110204.0,126.39839164694057,2023-Q4,False,False
2018,1,New Brunswick,Japan,3327000.0,30.0,110900.0,2018-Q1,False,False
2018,1,Ontario,Australia,50838000.0,52896.0,961.0934664246824,2018-Q1,False,False
2018,1,Alberta,United States,282666000.0,686304.0,411.867044341866,2018-Q1,False,False
2018,2,Yukon,Japan,4197000.0,670.0,6264.179104477612,2018-Q2,False,True
